,article_name,country,rev_id,article_quality,Population mid-2018 (millions)
0,Gladys Lundwe,Zambia,757566606.0,Stub,17.7
1,Mwamba Luchembe,Zambia,764848643.0,Stub,17.7
2,Thandiwe Banda,Zambia,768166426.0,Start,17.7
3,Sylvester Chisembele,Zambia,776082926.0,C,17.7
4,Victoria Kalima,Zambia,776530837.0,Start,17.7
5,Margaret Mwanakatwe,Zambia,779747587.0,Start,17.7
6,Nkandu Luo,Zambia,779747961.0,Start,17.7
7,Susan Nakazwe,Zambia,779748181.0,Start,17.7
8,Catherine Namugala,Zambia,779748285.0,Start,17.7
9,Edith Nawakwi,Zambia,779748522.0,Start,17.7
10,Joyce Nonde-Simukoko,Zambia,779748628.0,Start,17.7
11,Gladys Nyirongo,Zambia,779748837.0,C,17.7
12,Vera Tembo,Zambia,779748931.0,C,17.7
13,Ompie Nkumbula-Lieventhal,Zambia,790011468.0,Stub,17.7
14,Besnat Jere,Zambia,791225634.0,Stub,17.7
15,Esther Lungu,Zambia,792296625.0,C,17.7
16,Inonge Wina,Zambia,794006130.0,Start,17.7
17,Maureen Mwanawasa,Zambia,795820299.0,Start,17.7
18,First Lady of Zambia,Zambia,796467991.0,Start,17.7
19,Jean Kapata,Zambia,797469872.0,Start,17.7
20,Peter Sinkamba,Zambia,799512628.0,Start,17.7
21,Gwendoline Konie,Zambia,803304465.0,Start,17.7
22,Kenneth Kaunda,Zambia,805875783.0,C,17.7
23,Inonge Mbikusita-Lewanika,Zambia,805993958.0,Start,17.7
24,Yobert K. Shamapande,Zambia,806345311.0,C,17.7
25,Bir I of Kanem,Chad,355319463.0,Stub,15.4
26,Abdullah II of Kanem,Chad,498683267.0,Stub,15.4
27,Salmama II of Kanem,Chad,565745353.0,Stub,15.4
28,Kuri I of Kanem,Chad,565745365.0,Stub,15.4
29,Mohammed I of Kanem,Chad,565745375.0,Stub,15.4
30,Kuri II of Kanem,Chad,669719757.0,Stub,15.4
31,Bir II of Kanem,Chad,670893206.0,Stub,15.4
32,Mahamat Hissene,Chad,693055898.0,Stub,15.4
33,Othman I,Chad,705432607.0,Stub,15.4
34,Alphonse Kotiga,Chad,707593108.0,Stub,15.4
35,Oueddei Kichidemi,Chad,708346649.0,Start,15.4
36,Dunama I,Chad,710675092.0,Stub,15.4
37,Ahmad (Kanem-Bornu king),Chad,711388267.0,Stub,15.4
38,Djibrine Kerallah,Chad,712971263.0,Stub,15.4
39,Maurice Ngangtar,Chad,712971315.0,Stub,15.4
40,Idriss Miskine,Chad,712971738.0,Stub,15.4
41,Laoukein Kourayo Médard,Chad,716886170.0,Stub,15.4
42,Nadji Madou,Chad,716886788.0,Stub,15.4
43,Noël Milarew Odingar,Chad,716891799.0,Start,15.4
44,Yaya Dillo Djérou,Chad,717733209.0,Stub,15.4
45,Acheikh Ibn-Oumar,Chad,719821590.0,Start,15.4
46,Quatre Sou Quatre,Chad,720066754.0,Stub,15.4
47,Ali Gazi,Chad,722563340.0,Stub,15.4
48,Mahamat Djarma Khatir,Chad,725132042.0,Stub,15.4
49,Dunama IX Lefiami,Chad,731749611.0,Stub,15.4
50,Dawud of Kanem,Chad,736550266.0,Stub,15.4
51,Ahmed Koulamallah,Chad,738855197.0,Start,15.4
52,Abbo Nassour,Chad,741369486.0,B,15.4
53,Abdel Kader Baba-Laddé,Chad,742213176.0,Stub,15.4
54,Hummay,Chad,747271475.0,Stub,15.4
55,Ngarlejy Yorongar,Chad,751304544.0,C,15.4
56,Saleh Kezabo,Chad,751380073.0,Stub,15.4
57,Bourkou Louise Kabo,Chad,757072468.0,Start,15.4
58,Brahim Koulamallah,Chad,757802238.0,Stub,15.4
59,Saadie Goukouni Weddeye,Chad,757842614.0,Start,15.4
60,Mahamoud Adam Béchir,Chad,762579466.0,Start,15.4
61,Kalthouma Nguembang,Chad,762816132.0,Stub,15.4
62,Djidingar Dono Ngardoum,Chad,764133533.0,Stub,15.4
63,Template:ChadPMs,Chad,768123377.0,Stub,15.4
64,Template:ChadPres,Chad,770535091.0,Stub,15.4
65,Youssouf Saleh Abbas,Chad,771052289.0,B,15.4
66,Koibla Djimasta,Chad,774223245.0,Start,15.4
67,Nassour Guelendouksia Ouaido,Chad,774223248.0,C,15.4
68,Joseph Brahim Seid,Chad,777478442.0,Stub,15.4
69,Joseph Yodoyman,Chad,777550078.0,Start,15.4
70,Antoine Bangui,Chad,782638002.0,Start,15.4
71,Ibrahim IV of Bornu,Chad,785614014.0,Stub,15.4
72,Hadjé Halimé,Chad,786449636.0,C,15.4
73,Youssouf Togoïmi,Chad,787390241.0,Start,15.4
74,Adoum Younousmi,Chad,787719236.0,Start,15.4
75,François Tombalbaye,Chad,787738541.0,C,15.4
76,Ahmat Hassaballah Soubiane,Chad,787910771.0,Stub,15.4
77,Ahmad Allam-Mi,Chad,787921293.0,Start,15.4
78,Laotegguelnodji Koumtog,Chad,788009613.0,Stub,15.4
79,Mahamat Ali Adoum,Chad,788014671.0,Start,15.4
80,Mahamat Saleh Annadif,Chad,788658822.0,C,15.4
81,Mohamed Bechir-Sow,Chad,788827248.0,Stub,15.4
82,Gontchomé Sahoulba,Chad,788828388.0,Start,15.4
83,Gabriel Lisette,Chad,788828519.0,Start,15.4
84,Ali II of Bornu,Chad,788999424.0,Stub,15.4
85,Arabi El Goni,Chad,789126126.0,Stub,15.4
86,Dunama Dabbalemi,Chad,789935196.0,Start,15.4
87,Idris Alooma,Chad,792734868.0,Start,15.4
88,Mahamat Nouri,Chad,792954115.0,FA,15.4
89,Idriss Ndele Moussa,Chad,796654025.0,Stub,15.4
90,Mbaydoum Simeon,Chad,796690873.0,Stub,15.4
91,Ngarindo Milengar,Chad,796700718.0,Stub,15.4
92,List of Prime Ministers of Chad,Chad,797747674.0,Start,15.4
93,Idriss Déby,Chad,798286150.0,C,15.4
94,Saleh Kebzabo,Chad,798626040.0,C,15.4
95,Moussa Faki,Chad,799043301.0,C,15.4
96,Template:Chad-politician-stub,Chad,799373925.0,Stub,15.4
97,Kalzeubet Pahimi Deubet,Chad,799413193.0,Start,15.4
98,Haroun Kabadi,Chad,799447895.0,Start,15.4
99,Nagoum Yamassoum,Chad,799447995.0,Start,15.4
100,Outel Bono,Chad,799448338.0,Start,15.4
101,Ahmat Acyl,Chad,799902492.0,C,15.4
102,Djimrangar Dadnadji,Chad,800133552.0,Start,15.4
103,Delwa Kassiré Koumakoye,Chad,801029539.0,C,15.4
104,Fidèle Moungar,Chad,801192255.0,C,15.4
105,Jean Alingué Bawoyeu,Chad,801192303.0,B,15.4
106,Emmanuel Nadingar,Chad,801573576.0,C,15.4
107,Roger Djikisna,Chad,801583221.0,Stub,15.4
108,Firmin Djidingar,Chad,801583260.0,Stub,15.4
109,Idris I of Kanem,Chad,802874918.0,Stub,15.4
110,Vice President of Chad,Chad,803166509.0,Stub,15.4
111,Hissène Habré,Chad,803166806.0,GA,15.4
112,Negue Djogo,Chad,803166989.0,Start,15.4
113,Wadel Abdelkader Kamougué,Chad,803167152.0,C,15.4
114,Félix Malloum,Chad,803167336.0,Start,15.4
115,Lol Mahamat Choua,Chad,803167424.0,C,15.4
116,Goukouni Oueddei,Chad,803167990.0,C,15.4
117,Albert Pahimi Padacké,Chad,803433107.0,C,15.4
118,List of heads of state of Chad,Chad,803812011.0,Start,15.4
119,Elise Loum,Chad,804773540.0,Start,15.4
120,Agnes Allafi,Chad,805493169.0,Start,15.4
121,Christine Georges Diguibaye,Chad,806337653.0,Stub,15.4
122,Pascal Yoadimnadji,Chad,806508985.0,Start,15.4
123,Aissa Koli,Chad,806616268.0,Start,15.4
124,Omar I of Kanem,Chad,807425129.0,Start,15.4
125,Template:Zimbabwe-politician-stub,Zimbabwe,391862046.0,Stub,14.0
126,Template:Zimbabwe-mayor-stub,Zimbabwe,444767985.0,Stub,14.0
127,Jabulani Dube,Zimbabwe,645408814.0,Stub,14.0
128,Fletcher Dulini,Zimbabwe,669981316.0,Stub,14.0
129,Leopold Takawira,Zimbabwe,710060929.0,Start,14.0
130,Tinos Rusere,Zimbabwe,710524880.0,Start,14.0
131,Gift Tandare,Zimbabwe,710615823.0,Stub,14.0
132,Engelbert Rugeje,Zimbabwe,711448400.0,Start,14.0
133,Max Mnkandla,Zimbabwe,711509855.0,Stub,14.0
134,Lovemore Matombo,Zimbabwe,711958194.0,Stub,14.0
135,Alfred Nikita Mangena,Zimbabwe,712004487.0,Stub,14.0
136,Simbi Mubako,Zimbabwe,713121927.0,Stub,14.0
137,Nicholas Kiti kiti,Zimbabwe,713308132.0,Stub,14.0
138,Aleck Gumbo,Zimbabwe,713580662.0,Stub,14.0
139,Jabulani Sibanda,Zimbabwe,713618917.0,Start,14.0
140,Cain Mathema,Zimbabwe,713726531.0,Stub,14.0
141,Patrick Kombayi,Zimbabwe,713740128.0,Stub,14.0
142,Langton Towungana,Zimbabwe,713899377.0,Stub,14.0
143,Eric Matinenga,Zimbabwe,714455111.0,Stub,14.0
144,Emmanuel Chiroto,Zimbabwe,714535045.0,Stub,14.0
145,Muchadeyi Masunda,Zimbabwe,714706533.0,C,14.0
146,David Butau,Zimbabwe,714967769.0,Stub,14.0
147,Thompson Samkange,Zimbabwe,715131189.0,Stub,14.0
148,Nomalanga Khumalo,Zimbabwe,715183334.0,Stub,14.0
149,Henry Dzinotyiweyi,Zimbabwe,715867004.0,Stub,14.0
150,Edward Raradza,Zimbabwe,716017725.0,Stub,14.0
151,Rekayi Tangwena,Zimbabwe,716669163.0,Stub,14.0
152,Sibonile Nyamudeza,Zimbabwe,717380254.0,Stub,14.0
153,Misheck Kagurabadza,Zimbabwe,720008799.0,Stub,14.0
154,Morgan Femai,Zimbabwe,721674926.0,Stub,14.0
155,Bybit Lydia Tsomondo,Zimbabwe,723082034.0,Stub,14.0
156,Kisinoti Mukwazhe,Zimbabwe,723353282.0,Stub,14.0
157,David Karimanzira,Zimbabwe,725242133.0,Stub,14.0
158,Sobusa Gula-Ndebele,Zimbabwe,726651867.0,Stub,14.0
159,Sylvester Nguni,Zimbabwe,726686195.0,Stub,14.0
160,Thamsanqa Mahlangu,Zimbabwe,726687480.0,Stub,14.0
161,Tichaona Mudzingwa,Zimbabwe,726687648.0,Stub,14.0
162,Murisi Zwizwai,Zimbabwe,726687669.0,Stub,14.0
163,Samuel Undenge,Zimbabwe,726688144.0,Stub,14.0
164,Reuben Marumahoko,Zimbabwe,726688205.0,Stub,14.0
165,Simon Khaya-Moyo,Zimbabwe,730764918.0,Stub,14.0
166,"List of candidates in the Zimbabwean parliamentary election, 2013",Zimbabwe,735498335.0,B,14.0
167,Jevan Maseko,Zimbabwe,736911246.0,Stub,14.0
168,Munacho Mutezo,Zimbabwe,738729779.0,Stub,14.0
169,Sesel Zvidzai,Zimbabwe,738810400.0,Stub,14.0
170,Samuel Sipepa Nkomo,Zimbabwe,738992625.0,Stub,14.0
171,Faber Chidarikire,Zimbabwe,738992871.0,Start,14.0
172,Willard Chiwewe,Zimbabwe,738992910.0,Stub,14.0
173,Martin Dinha,Zimbabwe,738992918.0,Stub,14.0
174,Herbert Ushewokunze,Zimbabwe,739137894.0,Stub,14.0
175,Nyasha Chikwinya,Zimbabwe,742899761.0,Start,14.0
176,Naomi Nhiwatiwa,Zimbabwe,743971092.0,Start,14.0
177,Bright Matonga,Zimbabwe,744753863.0,Stub,14.0
178,Thokozani Khuphe,Zimbabwe,747274193.0,Start,14.0
179,Border Gezi,Zimbabwe,748061603.0,Start,14.0
180,Rugare Gumbo,Zimbabwe,749496266.0,Start,14.0
181,George Nyandoro,Zimbabwe,750224976.0,Start,14.0
182,Paul Chimedza,Zimbabwe,750428952.0,Stub,14.0
183,Gorden Moyo,Zimbabwe,750974704.0,Stub,14.0
184,Daniel Shumba,Zimbabwe,753294248.0,Start,14.0
185,Douglas Mombeshora,Zimbabwe,755110125.0,Stub,14.0
186,Munyaradzi Gwisai,Zimbabwe,755337199.0,Start,14.0
187,Olivia Muchena,Zimbabwe,757616307.0,Start,14.0
188,Paurine Mpariwa,Zimbabwe,757616437.0,Stub,14.0
189,Sithembiso Nyoni,Zimbabwe,757617613.0,Stub,14.0
190,Earnest Mudzengi,Zimbabwe,757796569.0,Stub,14.0
191,Gift Banda,Zimbabwe,758442662.0,Stub,14.0
192,Wilson Kumbula,Zimbabwe,759330558.0,Stub,14.0
193,Paurina Mpariwa,Zimbabwe,760532029.0,Stub,14.0
194,Flora Buka,Zimbabwe,762630896.0,Stub,14.0
195,Elliot Manyika,Zimbabwe,763330074.0,Start,14.0
196,Diana Mitchell,Zimbabwe,764299725.0,Start,14.0
197,Maurice Nyagumbo,Zimbabwe,764826793.0,Start,14.0
198,Josiah Zion Gumede,Zimbabwe,765095810.0,Start,14.0
199,Edson Zvobgo,Zimbabwe,767922311.0,Start,14.0
200,Felix Magalela Mafa Sibanda,Zimbabwe,769519957.0,C,14.0
201,Tracy Mutinhiri,Zimbabwe,769876632.0,Stub,14.0
202,Kayisa Ndiweni,Zimbabwe,771958995.0,Stub,14.0
203,Enoch Dumbutshena,Zimbabwe,774026217.0,Stub,14.0
204,Hubert Nyanhongo,Zimbabwe,774061307.0,Stub,14.0
205,James Chikerema,Zimbabwe,775935799.0,C,14.0
206,Victoria Chitepo,Zimbabwe,776389556.0,Start,14.0
207,Joel Gabuza,Zimbabwe,776840034.0,Stub,14.0
208,Trudy Stevenson,Zimbabwe,776943338.0,Start,14.0
209,Joram Gumbo,Zimbabwe,777424335.0,Stub,14.0
210,Joseph Chinotimba,Zimbabwe,777482252.0,C,14.0
211,Nkululeko Sibanda,Zimbabwe,777623864.0,Start,14.0
212,Janet Banana,Zimbabwe,777849777.0,Stub,14.0
213,Lazarus Dokora,Zimbabwe,780062778.0,Stub,14.0
214,Lutho Tapela,Zimbabwe,782607746.0,Stub,14.0
215,Moven Mahachi,Zimbabwe,783298283.0,Stub,14.0
216,Margaret Dongo,Zimbabwe,783419906.0,Start,14.0
217,Sekai Holland,Zimbabwe,783637102.0,C,14.0
218,George Chiweshe,Zimbabwe,783919896.0,Start,14.0
219,Josiah Mushore Chinamano,Zimbabwe,784396785.0,Stub,14.0
220,Michael Bimha,Zimbabwe,784668448.0,Stub,14.0
221,Josiah Tongogara,Zimbabwe,786913202.0,C,14.0
222,Naison Ndlovu,Zimbabwe,787854175.0,Stub,14.0
223,Enos Mdlongwa,Zimbabwe,787854640.0,Stub,14.0
224,Lindiwe Majele Sibanda,Zimbabwe,788247480.0,Start,14.0
225,Ndabaningi Sithole,Zimbabwe,788291899.0,C,14.0
226,Ambrose Mutinhiri,Zimbabwe,788777043.0,Stub,14.0
227,Judith Todd,Zimbabwe,788792548.0,Start,14.0
228,Andrew Langa,Zimbabwe,789094827.0,Stub,14.0
229,Christopher Kuruneri,Zimbabwe,789427326.0,Start,14.0
230,Priscilla Misihairabwi-Mushonga,Zimbabwe,789545114.0,Stub,14.0
231,Swithun Mombeshora,Zimbabwe,789545179.0,Stub,14.0
232,Oppah Muchinguri,Zimbabwe,789545185.0,Stub,14.0
233,Samuel Mumbengegwi,Zimbabwe,789545206.0,Start,14.0
234,Chris Mushohwe,Zimbabwe,789545212.0,Stub,14.0
235,Giles Mutsekwa,Zimbabwe,789545214.0,Start,14.0
236,Francis Nhema,Zimbabwe,789545220.0,Stub,14.0
237,Mike Nyambuya,Zimbabwe,789545233.0,Stub,14.0
238,Solomon Mujuru,Zimbabwe,789898624.0,C,14.0
239,Ronald Penza,Zimbabwe,789948565.0,Stub,14.0
240,Joseph Made,Zimbabwe,789965571.0,Start,14.0
241,Evelyn Masaiti,Zimbabwe,790034879.0,Stub,14.0
242,Jessie Majome,Zimbabwe,790035057.0,Start,14.0
243,Theresa Makoni,Zimbabwe,790423262.0,Stub,14.0
244,List of Presidents of the Senate of Zimbabwe,Zimbabwe,791068367.0,Stub,14.0
245,Blessing Chebundo,Zimbabwe,791690130.0,Start,14.0
246,George Charamba,Zimbabwe,793738070.0,Start,14.0
247,Chenhanho Chimutengwende,Zimbabwe,793820850.0,Stub,14.0
248,Simon Muzenda,Zimbabwe,794934380.0,Start,14.0
249,Witness Mangwende,Zimbabwe,794934451.0,Stub,14.0
250,Nathan Shamuyarira,Zimbabwe,794934469.0,C,14.0
251,Joseph Makamba Busha,Zimbabwe,795007156.0,Start,14.0
252,Walter Chidakwa,Zimbabwe,795247525.0,Stub,14.0
253,Maxwell Zeb Shumba,Zimbabwe,795637625.0,Start,14.0
254,Henry Madzorera,Zimbabwe,795846349.0,Stub,14.0
255,First Lady of Zimbabwe,Zimbabwe,796477244.0,Stub,14.0
256,Charles Shanyurai Majange,Zimbabwe,796608492.0,Stub,14.0
257,Elleck Mashingaidze,Zimbabwe,796726442.0,Stub,14.0
258,Phillip Chiyangwa,Zimbabwe,797170378.0,Start,14.0
259,Chenjerai Hunzvi,Zimbabwe,797225827.0,C,14.0
260,Edward Chindori-Chininga,Zimbabwe,797414978.0,Start,14.0
261,Arthur Mutambara,Zimbabwe,797932659.0,C,14.0
262,Edgar Tekere,Zimbabwe,798106157.0,C,14.0
263,Psychology Maziwisa,Zimbabwe,798140615.0,C,14.0
264,Isaac Matongo,Zimbabwe,798248963.0,Stub,14.0
265,Julia Tukai Zvobgo,Zimbabwe,798468363.0,Start,14.0
266,Jameson Timba,Zimbabwe,799326094.0,Stub,14.0
267,Ben Ncube,Zimbabwe,799405378.0,Stub,14.0
268,Obedingwa Mguni,Zimbabwe,799406056.0,Stub,14.0
269,Denis Norman,Zimbabwe,799605293.0,Start,14.0
270,Japhet Ndabeni Ncube,Zimbabwe,800407734.0,Stub,14.0
271,Nicholas Mabodoko,Zimbabwe,800407872.0,Stub,14.0
272,Fay Chung,Zimbabwe,800705666.0,B,14.0
273,Alfred Makwarimba,Zimbabwe,801370822.0,Stub,14.0
274,Elphas Mukonoweshuro,Zimbabwe,801488585.0,Stub,14.0
275,Elton Mangoma,Zimbabwe,801497420.0,Start,14.0
276,Edna Madzongwe,Zimbabwe,802259324.0,Start,14.0
277,Fidelis Mhashu,Zimbabwe,803084855.0,Stub,14.0
278,Promise Mkwananzi,Zimbabwe,803579259.0,Start,14.0
279,Saviour Kasukuwere,Zimbabwe,804677245.0,Start,14.0
280,Walter Mzembi,Zimbabwe,804678140.0,Stub,14.0
281,Kembo Mohadi,Zimbabwe,804811059.0,Start,14.0
282,Learnmore Jongwe,Zimbabwe,804844902.0,Start,14.0
283,Lovemore Madhuku,Zimbabwe,804895632.0,C,14.0
284,List of Finance Ministers of Zimbabwe,Zimbabwe,804914333.0,Stub,14.0
285,Joice Mujuru,Zimbabwe,805993308.0,C,14.0
286,Ignatious Chombo,Zimbabwe,806656210.0,Start,14.0
287,Robert Mugabe,Zimbabwe,806814411.0,FA,14.0
288,Tichafa Samuel Parirenyatwa,Zimbabwe,807159774.0,C,14.0
289,Guy Georgias,Zimbabwe,807196681.0,C,14.0
290,Grace Mugabe,Zimbabwe,807337237.0,GA,14.0
291,Guy Clutton-Brock,Zimbabwe,807442408.0,Start,14.0
292,Template:Uganda-politician-stub,Uganda,391862070.0,Stub,44.1
293,Template:Uganda-mayor-stub,Uganda,444767727.0,Stub,44.1
294,Yosia Nadiope of Busoga,Uganda,655390291.0,Stub,44.1
295,Patrick Mutono,Uganda,684295893.0,Stub,44.1
296,Stanislaus Okurut,Uganda,689614169.0,Stub,44.1
297,Charles Oboth Ofumbi,Uganda,693292931.0,Start,44.1
298,Pumla Kisosonkole,Uganda,693388584.0,Start,44.1
299,Francis K. Butagira,Uganda,707473503.0,Start,44.1
300,Otema Allimadi,Uganda,708054598.0,Stub,44.1
301,Omwony Ojwok,Uganda,713020154.0,Stub,44.1
302,Jachan Mandir Omach,Uganda,715433158.0,Stub,44.1
303,Onegi Obel,Uganda,717146307.0,Start,44.1
304,Saleh Kamba,Uganda,720059752.0,Stub,44.1
305,John Kabaireho,Uganda,723957779.0,Stub,44.1
306,Tete Chelangat,Uganda,724554948.0,Stub,44.1
307,Sarah Kanyike,Uganda,725742962.0,Start,44.1
308,Gagawala Wambuzi,Uganda,726767754.0,Stub,44.1
309,Julius Wandera Maganda,Uganda,726918511.0,Stub,44.1
310,Haruna Kasolo Kyeyune,Uganda,726919678.0,Stub,44.1
311,Yabezi Kiiza,Uganda,736273855.0,Stub,44.1
312,Semei Kakungulu,Uganda,737799048.0,C,44.1
313,Abu Mayanja,Uganda,746946728.0,C,44.1
314,Daniel Kidega,Uganda,753278613.0,Start,44.1
315,Eng Abner Nangwale,Uganda,756457100.0,Stub,44.1
316,Yowabu Magada Kawaluuko,Uganda,757388522.0,Start,44.1
317,Grace Kwiyucwiny,Uganda,757563021.0,Start,44.1
318,Mary Goretti Kitutu,Uganda,757615490.0,Start,44.1
319,Rukiya Chekamondo,Uganda,757616921.0,Start,44.1
320,Sezi Mbaguta,Uganda,757617202.0,Start,44.1
321,Frederick Ngobi Gume,Uganda,758395750.0,Stub,44.1
322,Rosemary Seninde,Uganda,758567928.0,Start,44.1
323,Gerald Ssendaula,Uganda,759366517.0,C,44.1
324,Juma Oris,Uganda,759378614.0,Stub,44.1
325,Godfrey Kiwanda,Uganda,759877869.0,Stub,44.1
326,Geoffrey Onegi Obel,Uganda,760056661.0,Start,44.1
327,Tom Butime,Uganda,760181848.0,Start,44.1
328,Dennis Galabuzi Ssozi,Uganda,760184747.0,Start,44.1
329,Ken Lukyamuzi,Uganda,763247419.0,Stub,44.1
330,Victoria Sekitoleko,Uganda,766481345.0,C,44.1
331,Emmanuel Otala,Uganda,766665157.0,Start,44.1
332,Kabakumba Masiko,Uganda,770316807.0,C,44.1
333,Innocent Oula,Uganda,771724283.0,Start,44.1
334,Isaac Mulindwa,Uganda,773245217.0,Start,44.1
335,Hope Mwesigye,Uganda,773870932.0,Start,44.1
336,Katikkiro of Buganda,Uganda,774683767.0,Stub,44.1
337,Daudi Cwa II of Buganda,Uganda,774683907.0,Start,44.1
338,Ssuuna II of Buganda,Uganda,774684052.0,Start,44.1
339,Kamaanya of Buganda,Uganda,774684080.0,Start,44.1
340,Semakookiro of Buganda,Uganda,774684109.0,Start,44.1
341,Jjunju of Buganda,Uganda,774684124.0,Start,44.1
342,Kato Kintu,Uganda,774684195.0,Stub,44.1
343,Chwa I of Buganda,Uganda,774684228.0,Start,44.1
344,Kyabaggu of Buganda,Uganda,774830237.0,Start,44.1
345,Kiweewa of Buganda,Uganda,774831268.0,Start,44.1
346,Ismael Orot,Uganda,775522497.0,Stub,44.1
347,James Obita,Uganda,775995921.0,Stub,44.1
348,Janat Mukwaya,Uganda,776107670.0,Start,44.1
349,Besueri Kiwanuka Lusse Mulondo,Uganda,776344991.0,Start,44.1
350,Jeremiah Twa-Twa,Uganda,776491782.0,Start,44.1
351,Joyce Kakuramatsi Kikafunda,Uganda,777643576.0,Stub,44.1
352,Kania Obiga,Uganda,778265355.0,Stub,44.1
353,Apollo Kironde,Uganda,778598971.0,Stub,44.1
354,Kibirige Mayanja,Uganda,778840186.0,Start,44.1
355,Kintu Musoke,Uganda,779007768.0,Start,44.1
356,Jessica Alupo,Uganda,779397351.0,Start,44.1
357,Rebecca Amuge Otengo,Uganda,779397437.0,Start,44.1
358,Syda Bbumba,Uganda,779397532.0,Start,44.1
359,Alintuma Nsambu,Uganda,781605803.0,Stub,44.1
360,Esther Mbulakubuza Mbayo,Uganda,781789704.0,Start,44.1
361,Abdul Nadduli,Uganda,782460126.0,Stub,44.1
362,Moses Kizige,Uganda,782979760.0,Start,44.1
363,Maria Kiwanuka,Uganda,783449036.0,Start,44.1
364,Elijah Mushemeza,Uganda,784734768.0,Start,44.1
365,Michael Lulume Bayigga,Uganda,784768216.0,Start,44.1
366,Deo Rwabiita,Uganda,785038536.0,Stub,44.1
367,Daudi Ochieng,Uganda,785108122.0,Stub,44.1
368,Joy Kabatsi,Uganda,785339072.0,Start,44.1
369,Joshua Wanume Kibedi,Uganda,785862055.0,C,44.1
370,Kizza Besigye,Uganda,786081128.0,C,44.1
371,Apolo Kagwa,Uganda,786226893.0,C,44.1
372,Michael Kawalya Kagwa,Uganda,787306486.0,Stub,44.1
373,Abed Bwanika,Uganda,787410566.0,Start,44.1
374,Aggrey Awori,Uganda,787858057.0,C,44.1
375,Aggrey Bagiire,Uganda,787858062.0,Stub,44.1
376,Agnes Akiror,Uganda,787870163.0,Start,44.1
377,Namirembe Bitamazire,Uganda,788019797.0,Start,44.1
378,Amon Bazira,Uganda,788899061.0,Stub,44.1
379,Christopher Iga,Uganda,788972378.0,Stub,44.1
380,Nasser Sebaggala,Uganda,788972461.0,Start,44.1
381,Erias Lukwago,Uganda,788972566.0,Start,44.1
382,Template:KampalaMayors,Uganda,788972642.0,Stub,44.1
383,Beatrice Wabudeya,Uganda,789747515.0,Start,44.1
384,Jane Aceng,Uganda,789747629.0,C,44.1
385,Ruth Achieng,Uganda,789747664.0,Stub,44.1
386,Justine Ayebazibwe,Uganda,789748037.0,Stub,44.1
387,Jessica Eriyo,Uganda,789748269.0,Start,44.1
388,Mary Karooro Okurut,Uganda,789748670.0,Start,44.1
389,Adrian Tibaleka,Uganda,789748752.0,Stub,44.1
390,Nusura Tiperu,Uganda,789748782.0,Start,44.1
391,Florence Nakiwala Kiyingi,Uganda,789748978.0,Start,44.1
392,Ruth Nankabirwa,Uganda,789799593.0,Start,44.1
393,Justine Lumumba Kasule,Uganda,789799605.0,Start,44.1
394,Idah Nantaba,Uganda,789799744.0,C,44.1
395,Harriet Ntabazi,Uganda,789799847.0,Start,44.1
396,Florence Nebanda,Uganda,789799901.0,Start,44.1
397,Lukia Isanga Nakadama,Uganda,789799952.0,Start,44.1
398,Mariam Nalubega,Uganda,789799984.0,Start,44.1
399,Jenipher Namuyangu,Uganda,789800111.0,C,44.1
400,Sarah Kataike,Uganda,789800331.0,C,44.1
401,Caroline Amali Okao,Uganda,789800629.0,Start,44.1
402,Beatrice Rwakimari,Uganda,789803765.0,Stub,44.1
403,Mariam Naigaga,Uganda,790372580.0,C,44.1
404,Rose Akol,Uganda,790424964.0,Start,44.1
405,Amelia Kyambadde,Uganda,790428762.0,Start,44.1
406,Jehoash Mayanja Nkangi,Uganda,790837175.0,Start,44.1
407,Joash Mayanja Nkangi,Uganda,790993796.0,C,44.1
408,Moses Adome,Uganda,791007274.0,Stub,44.1
409,Paulson Luttamaguzi,Uganda,791007297.0,Stub,44.1
410,Charles Engola,Uganda,793154991.0,Start,44.1
411,Cerinah Nebanda,Uganda,793515881.0,Start,44.1
412,John Ssebaana Kizito,Uganda,793539141.0,Start,44.1
413,Persis Namuganza,Uganda,793628029.0,Start,44.1
414,Christine Amongin Aporu,Uganda,794194807.0,Start,44.1
415,Christine Ondoa,Uganda,794200311.0,Start,44.1
416,Concy Aciro,Uganda,795100048.0,Start,44.1
417,Peace Mutuuzo,Uganda,795181968.0,Start,44.1
418,Patrick Kayemba,Uganda,795404749.0,Stub,44.1
419,Alengot Oromait,Uganda,795458281.0,Start,44.1
420,Beti Kamya-Turwomwe,Uganda,796177970.0,C,44.1
421,Abdu Katuntu,Uganda,796406864.0,Stub,44.1
422,Loyce Biira Bwambale,Uganda,796684047.0,Start,44.1
423,Mike Kennedy Sebalu,Uganda,796694225.0,Stub,44.1
424,Miria Matembe,Uganda,796695675.0,Start,44.1
425,Kalema of Buganda,Uganda,796808819.0,Start,44.1
426,Maria Mutagamba,Uganda,796899099.0,Start,44.1
427,Sarah Achieng Opendi,Uganda,796991691.0,Start,44.1
428,Benedicto Kiwanuka,Uganda,797399615.0,Start,44.1
429,Yusuf Lule,Uganda,797449179.0,Start,44.1
430,Miria Obote,Uganda,797874277.0,Stub,44.1
431,Grace Akello,Uganda,798483499.0,Start,44.1
432,Joyce Moriku,Uganda,798506935.0,Start,44.1
